id,agency_id,location_name,active_dates
463,459,39th (2DS109) @ WB I-84 MP2.64,
464,456,Stafford Rd (2DS139) to NB I-205 MP2.8,
465,447,Vista Ridge (2DS108) @ WB US26 MP73.71,
466,467,Run Away Truck Ramp (2DS114) @ EB US26 MP49.95,
467,483,Government Island (2DS146) @ NB I-205 MP25.6,
468,451,Vista Ridge (2DS108) @ EB US26 MP73.71 to SB I-405,
469,424,Dundee Fulquartz OR18 WB MP 56.18,
470,454,E. Zoo Interchange (2DS107) @ WB US26 MP72.65,
471,438,DSR US26 @ OR216 Jct WB,
472,482,Government Island (2DS146) @ SB I-205 MP25.6,
473,446,Kings N St (W),
474,478,N. of 10th (2DS137) @ SB I-205 MP6.89,
475,455,Stafford Rd (2DS138) to NB I-205 MP3.58,
476,468,US26 (2DS118) @ SB OR35 MP57.80,
477,420,Alberta HOV (2R003) to NB I-5,
478,421,Rosa Parks HOV (2R004) to NB I-5,
479,441,Frog Lake South (2DS119) @ NB US26 MP61.77,
480,484,Maywood Park (2DS141) @ NB I-205 MP23.02,
481,489,Division Ramp (2DS152) @ SB I-205 MP19.92,
482,485,Maywood Park (2DS141) @ SB I-205 MP23.02,
483,466,Run Away Truck Ramp (2DS114) @ WB US26 MP49.95,
484,479,N. of 10th (2DS137) @ NB I-205 MP6.89,
485,442,Frog Lake South (2DS119) @ SB US26 MP61.77,
486,458,39th (2DS109) @ EB I-84 MP2.64,
487,440,Parkdale (2DS120) @ NB OR35 MP83.51,
488,463,SW 79th (2DS106) @ WB US26 MP70.16,
489,448,Vista Ridge (2DS108) @ EB US26 MP73.71,
490,427,Dundee 8th OR18 WB MP 56.75,
491,445,Kings N St (E),
492,469,US26 (2DS118) @ NB OR35 MP57.80,
493,464,Pioneer Brindle (2DS115) @ WB US26 MP51.83,
494,470,Ski Bowl West (2DS140) @ EB US26 MP52.44,
495,439,Parkdale (2DS120) @ SB OR35 MP83.51,
496,418,Going HOV (2R002) to NB I-5,
497,492,Powell Ramp (2DS153) @ SB I-205 MP19.54,
498,465,Pioneer Brindle (2DS115) @ EB US26 MP51.83,
499,434,Newberg Home Acres OR99W SB MP 24.41,
500,449,Vista Ridge (2DS108) @ EB US26 MP73.71 to NB I-405,
501,486,Glisan Ramp (2DS151) @ NB I-205 MP21.44,
502,488,Division Ramp (2DS152) @ NB I-205 MP19.92,
503,422,Victory HOV (2R006) to NB I-5,
504,450,Vista Ridge (2DS108) @ EB US26 MP73.71 to SW Market St,
505,430,Newberg Waterfront OR18 EB MP 57.95,
506,437,DSR US26 @ OR216 Jct EB,
507,477,S. of 10th (2DS136) @ SB I-205 MP6.09,
508,432,Newberg Wynooski OR18 EB MP 59.04,
509,473,Govt Camp Loop East (2DS116) @ EB US26 MP53.93,
510,443,Trillium Lake (2DS117) @ SB US26 MP55.99,
511,475,USFS Rd 35 (2DS113) @ EB MP47.83,
512,431,Newberg Wynooski OR18 WB MP 59.04,
513,461,SW 88th (2DS144) @ WB US26 MP69.77,
514,457,SB OR 43 Loop (2DS143) to NB I-205 MP8.79,
515,429,Newberg Waterfront OR18 WB MP 57.95,
516,428,Dundee 8th OR18 EB MP 56.75,
517,471,Ski Bowl West (2DS140) @ WB US26 MP52.44,
518,490,Division Ramp On-Ramp (2DS152) @ SB I-205 MP19.92,
519,462,SW 79th (2DS106) @ EB US26 MP70.16,
520,444,Trillium Lake (2DS117) @ NB US26 MP55.99,
521,487,Burnside (2DS145) @ NB I-205 MP20.9,
522,476,USFS Rd 35 (2DS113) @ WB MP47.83,
523,426,Dundee Fulquartz OR18 EB MP 56.18,
524,491,Powell Ramp (2DS153) @ NB I-205 MP19.54,
525,493,OR43 (2DS135) @ SB I-205 MP8.56,
526,501,Lawnfield (2DS154) at NB I-205 MP13.62,
4662,502,Alberta (2DS149) @ SB I-5 MP304.3,
4663,533,EB Elligsen Loop (2DS180) @ NB I-5 MP286.25 ,
4664,529,Delta Hwy (W),
4665,505,Russell (2DS150) @ NB I-5 MP302.8,
4666,517,Poverty I-84 MP226.62 WB,
4667,541,SB Wilsonville Rd (2DS184) @ SB I-5 MP283.42,
4668,515,Cabbage I-84 MP222.35 WB,
4669,528,US20 at Cooley Rd WB,
4670,534,EB Elligsen Loop (2DS180) @ SB I-5 MP286.25 ,
4671,539,NB Wilsonville Rd (2DS183) @ NB I-5 MP284.19,
4672,511,Meacham I-84 MP239.89 EB,
4673,522,US97 Construction Zone SB,
4674,527,US20 at Cooley Rd EB,
4675,536,WB Elligsen Loop (2DS181) @ NB I-5 MP286.07,
4676,518,Deadman I-84 MP229.18 WB,
4677,507,Poverty I-84 MP226.62 EB,
4678,504,Russell (2DS150) @ SB I-5 MP302.8,
4679,514,Cabbage I-84 MP221.45 WB,
4680,523,US97 Construction Zone NB,
4681,520,Meacham I-84 MP239.89 WB,
4682,540,NB Wilsonville Rd (2DS183) @ SB I-5 MP284.19,
4683,513,Cabbage I-84 MP220.83 WB,
4684,532,WB Elligsen Slip (2DS179) @ NB I-5 MP286.56,
4685,535,WB Elligsen Loop (2DS181) @ SB I-5 MP286.07,
4686,512,Mission I-84 MP219.61 WB,
4687,509,Deadman I-84 MP229.18 EB,
4688,537,SB Elligsen Slip (2DS182) @ SB I-5 MP285.78,
4689,538,SB Elligsen Slip (2DS182) @ NB I-5 MP285.78,
4690,542,SB Wilsonville Rd (2DS184) @ NB I-5 MP283.42,
4691,506,Russell (2DS150) @ NB I-5 to I-405 MP302.8,
4692,516,Cabbage I-84 MP223.52 WB,
4693,510,Meacham I-84 MP237.10 EB,
4720,545,OR126 at Powell Butte EB,
4721,557,Siskiyou I-5 MP 6.87 NB,
4722,551,OR62 EB MP 2.2 Commerce Dr.,
4723,556,Siskiyou I-5 MP 4.62 NB,
4724,543,OR126 at Powell Butte WB,
4725,555,Lava Butte US97 MP 151 NB,
4726,559,Cornelius Pass Rd. NB MP3.13,
4727,561,Cornelius Pass Rd. NB MP2.85,
4728,554,Bend Scales US97 MP 146.56 NB,
4729,547,OR62 WB MP 2.2 Commerce Dr.,
4730,546,TestTSSU,
4731,558,Siskiyou I-5 MP 10.08 NB,
4732,552,OR62 EB MP 3.4 Vilas Rd.,
4733,562,Cornelius Pass Rd. SB MP2.85,
4734,549,OR62 WB MP 4.9 Gregory Rd.,
4735,565,105th (2DS142) @ WB I-84 MP7.59,
4736,553,OR62 EB MP 4.9 Gregory Rd.,
4737,548,OR62 WB MP 3.5 Vilas Rd.,
4738,014es00875:_ME,168th Ave,
4739,014es00837:_MW,161st Ave,
4740,205es03656:_MS,SB from 134th,
4741,205es02813:_MS,MP 28.12,
4742,005es00123:_MN,MP 1.23,
4743,005es00170:_MN,MP 1.70,
4744,005es00123:_MS,MP 1.23,
4745,205es03693:_MS,20th Ave,
4746,014es00731:_ME,Bella Vista Rd,
4747,205es02903:_MS,18th St.,
4748,205es02812:_MS,SB Millplain,
4749,205es03693:_MN,20th Ave,
4750,205es02904:_MN,18th St Onramp,
4751,205es02904:_MS,18th St Onramp,
4752,205es03356:_MN,N. of Andresen,
4753,205es03266:_MS,N. of 78th St.,
4754,014es00790:_MW,152nd Ave,
4755,205es02863:_MS,SB @ 6th St.,
4756,205es03288:_MS,EB to SB Padden,
4757,205es03069:_MS,S. of SR500,
4758,205es02956:_MN,MP 29.56,
4759,014es00685:_ME,133rd Ave,
4760,205es03244:_MS,S. of 78th St.,
4761,205es02956:_MS,MP 29.56,
4762,014es00685:_MW,133rd Ave,
4763,014es00837:_ME,161st Ave,
4764,205es03311:_MS,WB to SB Padden,
4765,205es03068:_MS,WB to SB @ SR500,
4766,014es00875:_MW,168th Ave,
4767,205es03110:_MS,SR500 NB On Rmp,
4768,205es03007:_MS,MP 30.07,
4769,205es03321:_MN,North of Padden,
4770,205es02813:_MN,MP 28.12,
4771,205es03070:_MS,EB to SB @ SR500,
4772,205es03356:_MS,N. of Andresen,
4773,005es00169:_MN,NB 4th Plain,
4774,205es03321:_MS,North of Padden,
4775,014es00731:_MW,Bella Vista Rd,
4776,014es00790:_ME,152nd Ave,
4694,005es00042:_MS,SR14,
4695,005es00209:_MN,SR500,
4696,500es00480:_ME,I-205,
4697,205es02886:_MN,9th St NB,
4698,005es00032:_MN,InterstateBrdg,
4699,005es00032:_MS,InterstateBrdg,
4700,005es00297:_MS,Main St,
4701,205es02869:_MN,Mill Pln NB Ramp,
4702,005es00325:_MS,Main St North,
4703,205es03110:_MN,SR-500 NB On Rmp,
4704,005es00164:_MS,North of 4th Pln,
4705,205es02984:_MS,Burton Rd,
4706,005es00325:_MN,Main St North,
4707,205es02984:_MN,Burton Rd,
4708,500es00546:_ME,112th Ave,
4709,500es00546:_MW,112th Ave,
4710,005es00164:_MN,North of 4th Pln,
4711,500es00480:_MW,I-205,
4712,014es01670:_ME,27th,
4713,005es00209:_MS,SR500,
4714,014es01670:_MW,27th,
4715,005es00042:_MN,SR14,
4716,005es00297:_MN,Main St,
426,__S:205es02936:_MN,18th,
314,205es02936:_MN,18th ST NB,
4652,500es00964:_ME,79th ST,
4653,014es00193:_MW,MP 1.93,
4654,500es00332:_ME,Andresen RD,
4655,500es00235:_MW,54th Ave,
4656,005es00824:_MS,154th,
4657,005es00824:_MN,154th,
4658,500es00332:_MW,Andresen RD,
4659,500es00235:_ME,54th Ave,
4660,014es00193:_ME,MP 1.93,
4661,500es00964:_MW,79th ST,
360,500es00964:_ME,78th ST,
