id,agency_id,location_name,active_dates
87,249,Cesar Chavez (2R078) to EB I-84,"[2018-01-09,)"
88,250,60th (2R073) to EB I-84,"[2018-01-09,)"
89,251,33rd (2R077) to WB I-84,"[2018-01-09,)"
90,252,Sandy (2R079) to WB I-84,"[2018-01-09,)"
91,253,58th (2R081) to WB I-84,"[2018-01-09,)"
92,254,82nd/Halsey (2R080) to WB I-84,"[2018-01-09,)"
93,255,Glisan (2R023) to WB I-84,"[2018-01-09,)"
94,256,207th (2R085) to WB I-84,"[2018-01-09,)"
95,257,Stafford Rd (2R377) to NB I-205,"[2018-01-09,)"
96,258,10th (2R378) to NB I-205,"[2018-01-09,)"
97,259,SB OR 43 (2R380) to NB I-205,"[2018-01-09,)"
98,261,99E (2R042) to NB I-205,"[2018-01-09,)"
99,262,OR 213/Park Place (2R035) to I-205 NB,"[2018-01-09,)"
100,263,82nd Dr/Gladstone (2R044) to NB I-205,"[2018-01-09,)"
101,264,Or 212/224 (2R045) to NB I-205,"[2018-01-09,)"
102,265,Lawnfield (2R046) to NB I-205,"[2018-01-09,)"
103,266,Sunnybrook(2R053) to NB I-205,"[2018-01-09,)"
104,267,Sunnyside (2R054) to NB I-205,"[2018-01-09,)"
105,268,Johnson Cr (2R049) to NB I-205,"[2018-01-09,)"
106,269,Foster (2R050) to NB I-205,"[2018-01-09,)"
107,270,Powell (2R051) to NB I-205,"[2018-01-09,)"
108,271,Division (2R052) to NB I-205,"[2018-01-09,)"
109,272,Glisan (2R022) to NB I-205,"[2018-01-09,)"
110,273,Columbia (2R024) to NB I-205,"[2018-01-09,)"
111,275,Stafford Rd (2R390) to SB I-205,"[2018-01-09,)"
112,276,EB Airport Way (2R057) to NB I-205,"[2018-01-09,)"
113,277,10th (2R379) to SB I-205,"[2018-01-09,)"
114,278,OR 43 (2R351) to SB I-205,"[2018-01-09,)"
115,279,99E (2R041) to SB I-205,"[2018-01-09,)"
116,280,OR 213/Park Place (2R036) to SB I-205,"[2018-01-09,)"
117,281,82nd Dr/Gladstone (2R039) to SB I-205,"[2018-01-09,)"
118,282,OR 212/224 (2R038) to SB I-205,"[2018-01-09,)"
119,284,Milwaukie Expressway (2R037) to SB I-205,"[2018-01-09,)"
120,285,Sunnybrook (2R029) to SB I-205,"[2018-01-09,)"
121,286,Sunnyside (2R028) to SB I-205,"[2018-01-09,)"
122,287,Johnson Creek (2R034) to SB I-205,"[2018-01-09,)"
123,288,Foster (2R033) to SB I-205,"[2018-01-09,)"
124,289,Powell (2R032) to SB I-205,"[2018-01-09,)"
125,290,Division (2R031) to SB I-205,"[2018-01-09,)"
126,291,Washington (2R030) to SB I-205,"[2018-01-09,)"
127,292,Glisan (2R055) to SB I-205,"[2018-01-09,)"
128,293,Columbia (2R025) to SB I-205,"[2018-01-09,)"
129,294,EB Airport Way (2R027) to SB I-205,"[2018-01-09,)"
130,295,WB Airport Way (2R026) to SB I-205,"[2018-01-09,)"
131,296,NB I-405 (2DS011) to NB I-5 MP4.2,"[2018-01-09,)"
132,297,SB I-5 (2DS011) to SB I-405 MP4.09,"[2018-01-09,)"
133,298,NB I-5 (2DS011) @ I-405 MP303.47,"[2018-01-09,)"
134,299,SB I-5 (2DS011) @ I-405 MP303.47,"[2018-01-09,)"
135,300,N. Lombard off-ramp (2DS012) @ NB I-5 MP305.6,"[2018-01-09,)"
136,301,N. Lombard off-ramp (2DS012) @ SB I-5 MP305.6,"[2018-01-09,)"
137,306,Prosperity Park (2DS001) @ NB I-205 MP1.96,"[2018-01-09,)"
138,307,Blankenship (2DS002) @ NB I-205 MP5.39,"[2018-01-09,)"
139,308,Viewpoint (2DS003) @ NB I-205 MP7.6,"[2018-01-09,)"
140,309,Prescott (2DS005) @ NB I-205 MP23.27,"[2018-01-09,)"
141,310,Prosperity Park (2DS001) @ SB I-205 MP1.96,"[2018-01-09,)"
142,311,Blankenship (2DS002) @ SB I-205 MP5.39,"[2018-01-09,)"
143,312,Viewpoint (2DS003) @ SB I-205 MP7.6,"[2018-01-09,)"
144,313,Prescott (2DS005) @ SB I-205 MP23.27,"[2018-01-09,)"
145,314,OR 99W (2DS053) @ SB I-5 MP294.05,"[2018-01-09,)"
146,315,Park Place (2DS078) @ NB I-205 MP10.2,"[2018-01-09,)"
147,316,Park Place (2DS078) @ SB I-205 MP10.2,"[2018-01-09,)"
148,317,Halsey (2DS004) @ NB I-205 MP21.68,"[2018-01-09,)"
149,321,W. Grand (2DS013) @ EB I-84 MP0.45,"[2018-01-09,)"
150,322,Holiday ramp (2DS014) @ EB I-84 MP1.21,"[2018-01-09,)"
151,323,28th (2DS015) @ EB I-84 MP1.82,"[2018-01-09,)"
152,324,53rd (2DS016) @ EB I-84 MP3.36,"[2018-01-09,)"
153,325,Halsey ramp (2DS017) @ EB I-84 MP4.25,"[2018-01-09,)"
154,326,82nd (2DS018) @ EB I-84 MP5.03,"[2018-01-09,)"
155,327,Halsey (2DS019) @ EB I-84 MP5.82,"[2018-01-09,)"
156,329,102nd off-ramp (2DS020) @ EB I-84 MP6.7,"[2018-01-09,)"
157,330,122nd (2DS021) @ EB I-84 MP10.04,"[2018-01-09,)"
158,331,148th (2DS022) @ EB I-84 MP11.47,"[2018-01-09,)"
159,332,162nd (2DS023) @ EB I-84 MP12.16,"[2018-01-09,)"
160,333,181st (2DS024) @ EB I-84 MP13.04,"[2018-01-09,)"
161,334,207th (2DS025) @ EB I-84 MP14.4,"[2018-01-09,)"
162,335,223rd (2DS026) @ EB I-84 MP15.17,"[2018-01-09,)"
163,336,238th (2DS027) @ EB I-84 MP15.94,"[2018-01-09,)"
164,337,Marine Dr (2DS028) @ EB I-84 MP16.9,"[2018-01-09,)"
165,338,W. Grand (2DS013) @ WB I-84 MP0.45,"[2018-01-09,)"
166,339,Holiday ramp (2DS014) @ WB I-84 MP1.21,"[2018-01-09,)"
167,340,28th (2DS015) @ WB I-84 MP1.82,"[2018-01-09,)"
168,318,Halsey (2DS004) @ SB I-205 MP21.68,"[2018-01-09,)"
169,341,53rd (2DS016) @ WB I-84 MP3.36,"[2018-01-09,)"
170,342,Halsey ramp (2DS017) @ WB I-84 MP4.25,"[2018-01-09,)"
171,343,82nd (2DS018) @ WB I-84 MP5.03,"[2018-01-09,)"
172,344,Halsey (2DS019) @ WB I-84 MP5.82,"[2018-01-09,)"
173,345,102nd (2DS020) @ WB I-84 MP6.7,"[2018-01-09,)"
174,346,122nd (2DS021) @ WB I-84 MP10.04,"[2018-01-09,)"
175,347,148th (2DS022) @ WB I-84 MP11.47,"[2018-01-09,)"
176,348,162nd (2DS023) @ WB I-84 MP12.16,"[2018-01-09,)"
177,349,181st (2DS024) @ WB I-84 MP13.04,"[2018-01-09,)"
178,350,207th (2DS025) @ WB I-84 MP14.4,"[2018-01-09,)"
179,351,223rd (2DS026) @ WB I-84 MP15.17,"[2018-01-09,)"
180,352,238th (2DS027) @ WB I-84 MP15.94,"[2018-01-09,)"
181,353,Marine Dr (2DS028) @ WB I-84 MP16.9,"[2018-01-09,)"
182,328,102nd (2DS020) @ EB I-84 MP6.7,"[2018-01-09,)"
183,358,Marquam Bridge (2DS079) @ NB I-5 MP300.47,"[2018-01-09,)"
184,361,Carman (2DS072) @ NB I-5 MP291.48,"[2018-01-09,)"
185,362,Carman (2DS072) @ SB I-5 MP291.48,"[2018-01-09,)"
186,367,N. Columbia off-ramp (2DS080) @ SB I-5 MP305.9,"[2018-01-09,)"
187,368,N. Columbia off-ramp (2DS080) @ NB I-5 MP305.9,"[2018-01-09,)"
188,369,A Near Side,"[2018-01-09,)"
189,370,A Far Side,"[2018-01-09,)"
190,371,B Near Side,"[2018-01-09,)"
191,372,B Far Side,"[2018-01-09,)"
192,375,D Near Side,"[2018-01-09,)"
193,380,Maintenance West Entrance (2DS089) @ EB US26 MP54.13,"[2018-01-09,)"
194,381,Maintenance West Entrance (2DS090) @ WB US26 MP54.13,"[2018-01-09,)"
195,382,Arlie Mitchell (2DS085) @ EB US26 MP43.77,"[2018-01-09,)"
196,383,Arlie Mitchell (2DS086) @ WB US26 MP43.77,"[2018-01-09,)"
197,384,Government Camp Loop West (2DS087) @ EB US26 MP52.47,"[2018-01-09,)"
304,205es02937:_MS,18th ST SB,
198,385,Government Camp Loop West (2DS088) @ WB US26 MP52.47,"[2018-01-09,)"
199,388,Frog Lake (2DS093) @ SB US26 MP61.77,"[2018-01-09,)"
200,389,Frog Lake (2DS094) @ NB US26 MP61.77,"[2018-01-09,)"
201,376,D Far Side,"[2018-01-09,)"
202,386,US26 (2DS091) @ EB OR35 MP57.52,"[2018-01-09,)"
203,387,US26 (2DS092) @ WB OR35 MP57.52,"[2018-01-09,)"
204,393,Jantzen Beach on-ramp (2DS106) @ NB I-5 MP307.92,"[2018-01-09,)"
205,396,Jantzen Beach off-ramp (2DS109) @ SB I-5 MP307.92,"[2018-01-09,)"
206,206,Bertha (2R309) to NB I-5,"[2018-01-09,)"
207,208,WB Morrison (2R017) to NB I-5,"[2018-01-09,)"
208,260,NB OR 43 (2DS095) to NB I-205,"[2018-01-09,)"
209,397,Halsey off-ramp (2DS019) @ EB I-84 MP5.82,"[2018-01-09,)"
210,398,NB I-5 (2DS082) to NB OR 217,"[2018-01-09,)"
211,373,C Near Side,"[2018-01-09,)"
212,374,C Far Side,"[2018-01-09,)"
213,274,WB Airport Way (2R056) to NB I-205,"[2018-01-09,)"
214,415,Greeley (2DS112) to NB I-5,"[2018-01-09,)"
215,125,EB Nyberg Loop (2R313) to NB I-5,"[2018-01-09,)"
216,126,WB Nyberg Slip (2R312) to NB I-5,"[2018-01-09,)"
217,67,NW Expressway (E),"[2018-01-09,)"
218,68,River Rd (E),"[2018-01-09,)"
219,69,River Ave (E),"[2018-01-09,)"
220,70,Delta Hwy (E),"[2018-01-09,)"
221,71,Coburg Rd (E),"[2018-01-09,)"
222,72,Coburg Rd (W),"[2018-01-09,)"
223,73,Delta Hwy (W),"[2018-01-09,)"
224,74,River Ave (W),"[2018-01-09,)"
225,75,River Rd (W),"[2018-01-09,)"
226,76,NW Expressway (W),"[2018-01-09,)"
227,357,Kuebler (3DS001) @ SB I-5 MP252.3,"[2018-01-09,)"
228,377,S. of Goodpasture (5DS003) @ NB Delta Hwy MP0.90,"[2018-01-09,)"
229,378,N. of Goodpasture (5DS002) @ Delta Hwy MP0.66,"[2018-01-09,)"
230,379,Beltline Hwy (5DS001) @ NB Delta Hwy MP0.32,"[2018-01-09,)"
231,401,US26 @ Fischer Rd WB,"[2018-01-09,)"
232,402,US26 @ Fischer Rd EB,"[2018-01-09,)"
233,403,US26 @ OR47 EB,"[2018-01-09,)"
234,404,US26 @ OR47 WB,"[2018-01-09,)"
235,405,OR47 SB,"[2018-01-09,)"
236,416,Mt. Bachelor EB,"[2018-01-09,)"
237,417,Mt. Bachelor WB,"[2018-01-09,)"
238,184,Zoo Interchange (2DS065) @ WB US26 MP72.17,"[2018-01-19,)"
239,236,NB Cornelius Pass Rd Slip (2R397) to EB US 26,"[2018-01-19,)"
240,190,Jefferson (2R382) to WB US 26,"[2018-01-19,)"
241,62,Hall (2R331) to SB OR 217,"[2018-01-19,)"
242,47,NB 72nd (2R348) to NB OR 217,"[2018-01-19,)"
243,188,Skyline (2R368) to EB US 26,"[2018-01-19,)"
244,189,Zoo (2R387) to EB US 26,"[2018-01-19,)"
245,400,S. OR99W (2DS033) @ SB OR 217 MP6.33,"[2018-01-19,)"
246,100,Hall (2DS064) @ NB OR 217 MP3.4,"[2018-01-19,)"
247,61,Denney (2R343) to SB OR 217,"[2018-01-19,)"
248,60,Allen (2R341) to SB OR 217,"[2018-01-19,)"
249,245,Cedar Hills (2R352) to WB US 26,"[2018-01-19,)"
250,235,SB Cornelius Pass Rd Loop (2R373) to EB US 26,"[2018-01-19,)"
251,57,Barnes (2R349) to SB OR 217,"[2018-01-19,)"
252,64,Greenburg (2R333) to SB OR 217,"[2018-01-19,)"
253,63,Scholls Ferry (2R332) to SB OR 217,"[2018-01-19,)"
254,412,Baker Valley I-84 MP298.02 WB,"[2018-01-19,)"
255,177,Jefferson (2DS068) @ EB US26 MP73.17,"[2018-01-19,)"
256,51,Scholls Ferry (2R338) to NB OR 217,"[2018-01-19,)"
257,187,Canyon (2R366) to EB US 26,"[2018-01-19,)"
258,176,Zoo on-ramp (2DS065) @ EB US26 MP72.17,"[2018-01-19,)"
259,49,SB OR 99W Slip (2R336) to NB OR 217,"[2018-01-19,)"
260,240,Murray (2R365) to EB US 26,"[2018-01-19,)"
261,182,OR 217 Camera 89 (2DS067) @ WB US26 MP69.31,"[2018-01-19,)"
262,359,S. Greenburg (2DS041) @ SB OR 217 MP5.43,"[2018-01-19,)"
263,234,Helvetia (2R374) to EB US 26,"[2018-01-19,)"
264,241,Cedar Hills (2R369) to EB US 26,"[2018-01-19,)"
265,410,Baker Valley I-84 MP279.30 EB,"[2018-01-19,)"
