agency,stationid,latitude,longitude,geom,agencyid,start_date,end_date,active_dates,locationtext,direction,lanes,actual_lanes,highwayid,milepost
ODOT,1035,45.53260849,-122.6658444,0101000020E6100000628ED4319DAA5EC09C0FD7832CC44640,177,2016-02-22,,"[2016-02-22,)",Wheeler (2R018) to SB I-5,S,1,2,2,302
ODOT,1029,45.57815044,-122.6795951,0101000020E61000006641727C7EAB5EC0E8FB67D500CA4640,184,2016-02-22,,"[2016-02-22,)",WB Lombard (2R013) to SB I-5,S,1,2,2,306
ODOT,1031,45.56872264,-122.6790531,0101000020E6100000D62F229B75AB5EC0BBA549E7CBC84640,182,2016-02-22,,"[2016-02-22,)",Rosa Parks (2R014) to SB I-5,S,1,2,2,305
ODOT,1098,45.45497874,-122.5736041,0101000020E61000007F96F8EDB5A45EC070564CBE3CBA4640,243,2016-02-22,,"[2016-02-22,)",Johnson Creek (2R034) to SB I-205,S,1,2,4,16
ODOT,1111,45.5049315,-122.7821511,0101000020E6100000F2C17CC30EB25EC0309C6B98A1C04640,12,2016-02-22,,"[2016-02-22,)",Wilshire (2R350) to SB OR 217,S,1,2,10,0
ODOT,1100,45.40442647,-122.5720427,0101000020E6100000981AFC589CA45EC0B3241F3FC4B34640,238,2016-02-22,,"[2016-02-22,)",OR 212/224 (2DS168) to SB I-205,S,1,2,4,13
ODOT,1141,45.55946637,-122.5660371,0101000020E6100000A734ACF339A45EC0512E11989CC74640,469,2016-02-22,,"[2016-02-22,)",Columbia (2R025) to SB I-205,S,1,2,4,23
ODOT,1042,45.38434051,-122.5787515,0101000020E6100000B340BB430AA55EC02E7DE01132B14640,219,2016-02-22,,"[2016-02-22,)",82nd Dr/Gladstone (2R044) to NB I-205 MP11.05 [2DS169],N,1,2,3,11
ODOT,1076,45.45915749,-122.785262,0101000020E6100000A9328CBB41B25EC0B9A131ACC5BA4640,17,2016-02-22,,"[2016-02-22,)",Hall (2R331) to SB OR 217,S,1,2,10,4
ODOT,10556,45.53256451,-122.621445,0101000020E6100000D0D03FC1C5A75EC0EABAE8122BC44640,423,2016-02-22,,"[2016-02-22,)",39th (2DS109) @ EB I-84 MP2.64,E,1,2,7,3
ODOT,1043,45.40919883,-122.5714809,0101000020E610000079F29F2493A45EC0AB3494A060B44640,220,2016-02-22,,"[2016-02-22,)",OR 212/224 (2R045) to NB I-205 MP12.94 [2DS167],N,1,2,3,13
ODOT,1070,45.4342569,-122.760588,0101000020E6100000B96E4A79ADB05EC0FBC7E7BA95B74640,3,2016-02-22,,"[2016-02-22,)",NB OR 99W Loop (2R335) to NB OR 217,N,1,2,9,6
ODOT,1090,45.50814024,-122.7417446,0101000020E610000004BF57BE78AF5EC0724A48BD0AC14640,140,2016-02-22,,"[2016-02-22,)",Canyon (2R366) to EB US 26,E,1,2,11,71
ODOT,3161,45.50843924,-122.734482,0101000020E61000000B60CAC001AF5EC0CCE6798914C14640,129,2016-02-22,,"[2016-02-22,)",Zoo on-ramp (2DS065) @ EB US26 MP72.17,E,1,2,11,72
ODOT,1087,45.5123747,-122.7902094,0101000020E6100000797F72CA92B25EC01FE6817E95C14640,197,2016-02-22,,"[2016-02-22,)",Cedar Hills (2R369) to EB US 26,E,1,1,11,69
ODOT,1138,45.57813726,-122.9648132,0101000020E6100000F12FDD7FBFBD5EC04726D86600CA4640,189,2016-02-22,,"[2016-02-22,)",Jackson School Rd (2R398) to EB US 26 MP58.62 [2DS196],E,1,2,11,59
ODOT,1084,45.53985725,-122.8631146,0101000020E6100000CFEC04453DB75EC016A1D80A1AC54640,437,2016-02-22,,"[2016-02-22,)",SB 185th Loop (2R375) to EB US 26,E,1,1,11,64
ODOT,1039,45.39456788,-122.7483145,0101000020E6100000D9278062E4AF5EC07653463381B24640,86,2016-02-22,,"[2016-02-22,)",Lower Boones (2R321) to SB I-5,S,1,2,2,290
ODOT,1134,45.50622397,-122.6824429,0101000020E6100000CB38FC24ADAB5EC0F7CC71F2CBC04640,60,2016-02-22,,"[2016-02-22,)",5th (2R394) to SB I-405,S,1,1,6,1
ODOT,1097,45.52048793,-122.6652825,0101000020E610000079060DFD93AA5EC008A836599FC24640,202,2016-02-22,,"[2016-02-22,)",EB Morrison (2R074) to EB I-84,E,1,2,7,0
ODOT,1102,45.37398324,-122.5892078,0101000020E610000014E3A194B5A55EC0AC86CCAEDEAF4640,236,2016-02-22,,"[2016-02-22,)",OR 213/Park Place (2R036) to SB I-205 MP10.24 [2DS172],S,1,2,4,10
ODOT,1140,45.56224009,-122.5606038,0101000020E6100000DAC0C2EEE0A35EC06A86B77BF7C74640,229,2016-02-22,,"[2016-02-22,)",Columbia (2R024) to NB I-205,N,1,2,3,23
ODOT,1106,45.42054726,-122.5762613,0101000020E6100000D45C1377E1A45EC0AB0F1C7ED4B54640,240,2016-02-22,,"[2016-02-22,)",Milwaukie Expressway (2R037) to SB I-205,S,2,2,4,13
ODOT,1095,45.52332636,-122.8175722,0101000020E61000009A47591A53B45EC0D8AAB05BFCC24640,200,2018-01-19,,"[2018-01-19,)",Murray (2R354) to WB US 26,W,1,2,12,67
ODOT,10667,45.337626,-122.7687718,0101000020E610000092C5A28E33B15EC0C0232A5437AB4640,499,2016-02-22,2022-05-18,"[2016-02-22,2022-05-18)",WB Elligsen Slip (2DS179) @ NB I-5 MP286.56,N,1,2,1,287
ODOT,10588,45.50052583,-122.5649462,0101000020E6100000F73F1B1428A45EC09E53FB3A11C04640,461,2016-02-22,,"[2016-02-22,)",Powell Ramp (2DS153) @ NB I-205 MP19.54,N,1,2,3,20
ODOT,10028,44.09331262,-123.1014571,0101000020E61000009C9CEB457EC65EC01F9AFDAAF10B4640,28,2016-02-22,,"[2016-02-22,)",OR569 WB (5R002) @ Green Acres Rd MP9.77,W,1,2,617,10
ODOT,1119,45.52399811,-122.6870367,0101000020E6100000B669C768F8AB5EC0D3CEBC5E12C34640,64,2016-02-22,,"[2016-02-22,)",Everett (2R386) to SB I-405,S,1,2,6,2
ODOT,1115,45.34841755,-122.6542574,0101000020E6100000A00A6E5ADFA95EC01D4D3FF298AC4640,233,2016-02-22,,"[2016-02-22,)",10th (2R379) to SB I-205,S,1,2,4,6
ODOT,1120,45.51656822,-122.6885401,0101000020E610000003DF7E0A11AC5EC0C7864DE81EC24640,63,2016-02-22,,"[2016-02-22,)",Taylor (2R385) to SB I-405,S,1,1,6,2
ODOT,1068,45.44459199,-122.7788351,0101000020E610000085DE2C6FD8B15EC0898EEC63E8B84640,5,2016-02-22,,"[2016-02-22,)",Greenburg (2R337) to NB OR 217,N,1,2,9,5
ODOT,1073,45.43337347,-122.7604894,0101000020E6100000197DBBDBABB05EC0514D28C878B74640,20,2016-02-22,,"[2016-02-22,)",OR 99W (2R334) to SB OR 217,S,1,2,10,6
ODOT,1049,45.57215652,-122.5490459,0101000020E61000002F206A9123A35EC0EDCBC26C3CC94640,251,2018-01-19,,"[2018-01-19,)",WB Airport Way (2R026) to SB I-205 ,S,1,1,4,25
ODOT,1116,45.34770475,-122.6467324,0101000020E6100000DFD04A1064A95EC0F9F4D89681AC4640,214,2016-02-22,,"[2016-02-22,)",10th (2R378) to NB I-205,N,1,2,3,7
ODOT,1045,45.43623064,-122.5665247,0101000020E610000014B8D0F041A45EC01528D667D6B74640,223,2016-02-22,,"[2016-02-22,)",Sunnyside (2R054) to NB I-205,N,1,2,3,15
ODOT,1023,45.59608212,-122.683748,0101000020E610000025ADF886C2AB5EC0AF903D6B4CCC4640,170,2016-02-22,,"[2016-02-22,)",Victory (2R006) to NB I-5,N,2,3,1,307
ODOT,1028,45.58635774,-122.6809159,0101000020E6100000E474482094AB5EC03A873AC50DCB4640,185,2016-02-22,,"[2016-02-22,)",Columbia (2R011) to SB I-5,S,1,2,2,306
ODOT,1133,45.52731484,-122.6865684,0101000020E6100000E41D96BCF0AB5EC06C3F7C0D7FC34640,66,2016-02-22,,"[2016-02-22,)",Glisan (2R395) to NB I-405,N,1,2,5,2
ODOT,1019,45.55614856,-122.678407,0101000020E6100000299831056BAB5EC0707542E02FC74640,166,2016-02-22,,"[2016-02-22,)",Going (2R002) to NB I-5,N,1,1,1,304
ODOT,3127,45.5294117756835,-122.65374735,0101000020E610000069CC6F4F7BA95EC0C656DBC3C3C34640,278,2016-02-22,,"[2016-02-22,)",Lloyd Blvd (2DS014) @ EB I-84 MP0.58,E,2,2,7,1
ODOT,1025,45.61138543,-122.6775115,0101000020E61000007DCA31595CAB5EC0EA8CB5E041CE4640,172,2018-01-19,,"[2018-01-19,)",Jantzen Beach (2R008) to NB I-5 [2DS111],N,1,2,1,308
ODOT,1038,45.40658097,-122.744557,0101000020E6100000814067D2A6AF5EC0B9A960D80AB44640,87,2016-02-22,,"[2016-02-22,)",Carman (2R322) to SB I-5,S,1,2,2,291
ODOT,1032,45.55744205,-122.6789222,0101000020E6100000D161197673AB5EC02515D7425AC74640,181,2016-02-22,,"[2016-02-22,)",Alberta (2R015) to SB I-5,S,1,2,2,304
ODOT,1037,45.41915147,-122.7446639,0101000020E6100000C240C692A8AF5EC034DC5FC1A6B54640,88,2020-01-27,,"[2020-01-27,)",OR 217/Kruse Way (2R310) to SB I-5,S,1,2,611,292
ODOT,1036,45.49488701,-122.6737774,0101000020E61000002C723E2B1FAB5EC02695217558BF4640,69,2016-02-22,,"[2016-02-22,)",Hood (2R302) to SB I-5,S,1,1,2,299
ODOT,1077,45.46758148,-122.78637,0101000020E61000008E23D6E253B25EC05B68BEB5D9BB4640,16,2016-02-22,,"[2016-02-22,)",Denney (2R343) to SB OR 217,S,1,2,10,3
ODOT,1072,45.42479384,-122.750041,0101000020E61000002F6AF7AB00B05EC0CF2B01A55FB64640,21,2016-02-22,,"[2016-02-22,)",72nd (2R347) to SB OR 217,S,1,2,10,7
ODOT,1034,45.5442657,-122.6759774,0101000020E61000007275B63643AB5EC0D2EA9A7FAAC54640,179,2016-02-22,,"[2016-02-22,)",Greeley (2R019) to SB I-5 [2DS112],S,1,1,2,303
ODOT,1094,45.51629401,-122.7992704,0101000020E61000004B2A093F27B35EC00D0910EC15C24640,201,2018-11-30,,"[2018-11-30,)",Cedar Hills (2R352) to WB US 26,W,1,2,12,68
ODOT,1080,45.4972899,-122.7913839,0101000020E61000002E45A808A6B25EC0C8900832A7BF4640,13,2016-02-22,,"[2016-02-22,)",Walker (2R346) to SB OR 217,S,1,2,10,1
ODOT,1065,45.47803392,-122.7903926,0101000020E61000000700D8CA95B25EC0AC632A3730BD4640,8,2016-02-22,,"[2016-02-22,)",Allen (2R340) to NB OR 217,N,1,2,9,2
ODOT,1067,45.45651239,-122.7842606,0101000020E6100000A5225F5331B25EC068A27CFF6EBA4640,6,2016-02-22,,"[2016-02-22,)",Scholls Ferry (2R338) to NB OR 217,N,1,2,9,4
ODOT,3154,45.50482829,-122.7822623,0101000020E610000033D9E49510B25EC0A3D2A1369EC04640,321,2016-02-22,,"[2016-02-22,)",Wilshire (2DS043) @ SB OR 217 MP0.25,S,1,2,10,0
ODOT,3178,45.56224091,-122.9223759,0101000020E61000009747ED3408BB5EC02E769882F7C74640,259,2016-02-22,2024-06-03,"[2016-02-22,2024-06-03)",Helvetia (2DS057) @ EB US26 MP61.05,E,1,2,11,61
ODOT,1078,45.47531361,-122.7889539,0101000020E61000004EA37F387EB25EC098258D13D7BC4640,15,2016-02-22,,"[2016-02-22,)",Allen (2R341) to SB OR 217,S,1,2,10,3
ODOT,10660,44.09149973,-123.0978004,0101000020E610000049E29B5C42C65EC0AFF85D43B60B4640,498,2021-12-09,,"[2021-12-09,)",OR569 WB (5R005) @ Delta Hwy MP10.7,W,1,2,617,10
ODOT,10585,45.50648564,-122.5648865,0101000020E6100000ECDCB41927A45EC0C9D87D85D4C04640,458,2016-02-22,,"[2016-02-22,)",Division Ramp (2DS152) @ NB I-205 MP19.92,N,1,2,3,20
ODOT,1136,45.53366189,-122.8448951,0101000020E61000003EC3E5C212B65EC0F55566084FC44640,199,2018-01-19,,"[2018-01-19,)",Bethany (2R356) to WB US 26,W,1,2,12,66
ODOT,1122,45.51532672,-122.6924878,0101000020E6100000417859B851AC5EC0D593D839F6C14640,144,2016-02-22,,"[2016-02-22,)",Clay (2R383) to WB US 26,W,1,2,12,74
ODOT,1079,45.48426817,-122.793328,0101000020E610000012C0CDE2C5B25EC06752D87FFCBD4640,14,2016-02-22,,"[2016-02-22,)",B-H Hwy (2R345) to SB OR 217,S,1,2,10,2
ODOT,1047,45.48063245,-122.5654351,0101000020E6100000ACA0B31630A45EC0BC12375D85BD4640,467,2016-02-22,,"[2016-02-22,)",Foster (2R050) to NB I-205,N,1,2,3,18
ODOT,3181,45.514875,-122.700678,0101000020E6100000B5C189E8D7AC5EC096438B6CE7C14640,136,2016-02-22,,"[2016-02-22,)",Jefferson (2DS068) @ WB US26 MP73.17,W,1,1,12,73
ODOT,1061,45.53430323,-122.6272306,0101000020E61000003B83D08B24A85EC0A37F590C64C44640,208,2016-02-22,,"[2016-02-22,)",Sandy (2R079) to WB I-84,W,1,2,8,2
ODOT,1050,45.56965788,-122.5523457,0101000020E61000008565C7A159A35EC01D41A68CEAC84640,468,2016-02-22,,"[2016-02-22,)",EB Airport Way (2R027) to SB I-205,S,1,2,4,25
ODOT,1145,45.52924702,-122.5641648,0101000020E61000007B63AD461BA45EC0E633C95DBEC34640,211,2020-01-27,,"[2020-01-27,)",Glisan (2R023) to WB I-84,W,1,2,609,6
ODOT,1121,45.50754838,-122.6844897,0101000020E6100000BAFCE2ADCEAB5EC0709E6658F7C04640,62,2016-02-22,,"[2016-02-22,)",Montgomery (2R384) to SB I-405,S,1,2,6,1
ODOT,10589,45.36197383,-122.6125024,0101000020E61000002D2E443D33A75EC0CEED902855AE4640,463,2016-02-22,,"[2016-02-22,)",OR43 (2DS135) @ SB I-205 MP8.56,S,1,2,4,9
ODOT,10590,45.41921001,-122.5731825,0101000020E6100000EE08A705AFA45EC08C8D71ACA8B54640,471,2016-02-22,,"[2016-02-22,)",Lawnfield (2R046) at NB I-205 [2DS154],N,1,2,3,14
ODOT,1006,45.40999354,-122.7435779,0101000020E6100000D1A1C2C796AF5EC086EF16AB7AB44640,82,2016-02-22,,"[2016-02-22,)",Carman (2R316) to NB I-5,N,1,2,1,292
ODOT,1005,45.39806383,-122.7460193,0101000020E6100000D4EBBBC7BEAF5EC006C96DC1F3B24640,81,2016-02-22,,"[2016-02-22,)",Lower Boones (2R311) to NB I-5,N,1,2,1,291
ODOT,1075,45.44961619,-122.7843735,0101000020E61000005796E82C33B25EC0ACE6F7058DB94640,18,2016-02-22,,"[2016-02-22,)",Scholls Ferry (2R332) to SB OR 217,S,1,2,10,4
ODOT,232,45.57212537,-122.5476599,0101000020E610000029F51BDC0CA35EC053AE74673BC94640,232,2016-02-22,,"[2016-02-22,)",EB Airport Way (2R057) to NB I-205,N,2,2,3,25
ODOT,1010,45.45320234,-122.7197657,0101000020E6100000159227A410AE5EC0A562C68802BA4640,157,2016-02-22,,"[2016-02-22,)",Capitol (2R306) to NB I-5,N,1,1,1,295
ODOT,1125,45.43127276,-122.5662264,0101000020E61000007088A70D3DA45EC086ED1FF233B74640,242,2016-02-22,,"[2016-02-22,)",Sunnyside (2R028) to SB I-205,S,1,2,4,15
ODOT,1054,45.47630545,-122.5661682,0101000020E610000041C28B193CA45EC00A54B593F7BC4640,470,2016-02-22,,"[2016-02-22,)",Woodstock (2R033) to SB I-205,S,1,2,4,18
ODOT,10024,44.09628648,-123.1088889,0101000020E61000006F192609F8C65EC0D052891D530C4640,24,2016-02-22,,"[2016-02-22,)",OR569 EB (5R003) @ River Ave MP9.35,E,1,1,616,9
ODOT,1066,45.4709953,-122.7857125,0101000020E6100000BDE3141D49B25EC0EC08F19249BC4640,7,2016-02-22,,"[2016-02-22,)",Denney (2R342) to NB OR 217,N,1,2,9,3
ODOT,1083,45.53985995,-122.8631161,0101000020E6100000AB894F4B3DB75EC0C9D57E211AC54640,440,2016-02-22,,"[2016-02-22,)",NB 185th Slip (2R376) to EB US 26,E,1,2,11,64
ODOT,10027,44.08796652,-123.0704383,0101000020E6100000B2B8A40F82C45EC07F45A77C420B4640,27,2016-02-22,,"[2016-02-22,)",OR569 WB (5R001) @ Coburg Rd MP11.66,W,1,2,617,12
ODOT,1060,45.52753585,-122.6067851,0101000020E6100000CE0C2C91D5A65EC0D99B734B86C34640,209,2016-02-22,,"[2016-02-22,)",58th (2R081) to WB I-84,W,1,1,8,3
ODOT,1024,45.60406932,-122.6810779,0101000020E6100000D1A1C2C796AB5EC05FF5BA2452CD4640,171,2016-02-22,,"[2016-02-22,)",Marine Dr/99E (2R007) to NB I-5,N,1,2,1,307
ODOT,1026,45.61131899,-122.679722,0101000020E6100000CA17B49080AB5EC0A4BC5EB33FCE4640,188,2016-02-22,,"[2016-02-22,)",Jantzen Beach (2R009) to SB I-5 [2DS111],S,1,2,2,308
ODOT,10583,45.49521405,-122.5658603,0101000020E6100000B4A61E0E37A45EC086A28A2C63BF4640,462,2016-02-22,,"[2016-02-22,)",Powell Ramp (2DS153) @ SB I-205 MP19.54,S,2,2,4,20
ODOT,1124,45.43199158,-122.5652481,0101000020E610000013E85D062DA45EC0AA1F06804BB74640,222,2016-02-22,,"[2016-02-22,)",Sunnybrook(2R053) to NB I-205,N,1,2,3,15
ODOT,1143,45.52290554,-122.5657958,0101000020E6100000B54D96FF35A45EC03E999891EEC24640,465,2016-02-22,,"[2016-02-22,)",Glisan (2R055) to SB I-205,S,1,1,4,21
ODOT,1082,45.55480021,-122.9030262,0101000020E6100000981B672ECBB95EC0C9E17AB103C74640,439,2016-02-22,,"[2016-02-22,)",SB Cornelius Pass Rd Loop (2R373) to EB US 26,E,1,2,11,62
ODOT,10356,45.51893011,-122.6661823,0101000020E610000024EB15BBA2AA5EC00AAE454D6CC24640,356,2016-02-22,,"[2016-02-22,)",WB Morrison (2R017) to NB I-5,N,2,2,1,301
ODOT,1040,45.38145378,-122.7535277,0101000020E610000054083FCC39B05EC08E043B7AD3B04640,85,2016-02-22,,"[2016-02-22,)",Nyberg (2R320) to SB I-5,S,1,2,2,289
ODOT,10668,45.33709639,-122.7698398,0101000020E6100000300A270E45B15EC0285379F925AB4640,503,2022-09-30,,"[2022-09-30,)",WB Elligsen Loop (2R319) @ SB I-5 MP286.25 [2DS181],S,1,1,2,286
ODOT,10666,45.3348779,-122.7686859,0101000020E61000005D59582632B15EC09B536E47DDAA4640,500,2016-02-22,2022-05-18,"[2016-02-22,2022-05-18)",EB Elligsen Loop (2DS180) @ NB I-5 MP286.25 ,N,1,1,1,286
ODOT,1013,45.47060354,-122.6882774,0101000020E6100000DCE4A6BC0CAC5EC046D79EBC3CBC4640,355,2016-02-22,,"[2016-02-22,)",Bertha (2R309) to NB I-5,N,2,1,1,297
ODOT,1113,45.36871686,-122.7028409,0101000020E6100000A3F26558FBAC5EC08797331D32AF4640,213,2016-02-22,,"[2016-02-22,)",Stafford Rd (2R377) to NB I-205,N,1,2,3,4
ODOT,10662,45.30508408,-122.7688729,0101000020E6100000F711AE3635B15EC0AC10C1FE0CA74640,507,2016-02-22,2022-05-18,"[2016-02-22,2022-05-18)",Wilsonville Rd NB (2DS183) @ NB I-5 MP284.19,N,1,2,1,284
ODOT,1074,45.44259733,-122.7756387,0101000020E6100000C4808010A4B15EC0CED28007A7B84640,19,2016-02-22,,"[2016-02-22,)",Greenburg (2R333) to SB OR 217,S,1,2,10,5
ODOT,10669,45.33518121,-122.7703457,0101000020E61000004F070D584DB15EC08497C737E7AA4640,505,2022-09-30,,"[2022-09-30,)",EB Elligsen Slip (2R318) @ SB I-5 MP285.78 [2DS182],S,1,2,2,286
ODOT,1009,45.4532014,-122.7197657,0101000020E6100000159227A410AE5EC02EC0E38002BA4640,156,2016-02-22,,"[2016-02-22,)",99W (2R307) to NB I-5,N,1,2,1,294
ODOT,10661,45.29978821,-122.7698098,0101000020E6100000FBC8529044B15EC094D6C6755FA64640,509,,,"(,)",SB Wilsonville Rd (2R399) @ SB I-5 MP283.42 [2DS184],S,1,3,2,283
ODOT,1129,45.54301736,-122.8696479,0101000020E61000003F62AA4FA8B75EC01D2EC59781C54640,198,2017-12-18,,"[2017-12-18,)",185th (2R357) to WB US 26,W,1,2,12,64
ODOT,1071,45.42633507,-122.7509542,0101000020E6100000CE7234A20FB05EC0D964C72592B64640,2,2016-02-22,,"[2016-02-22,)",NB 72nd (2R348) to NB OR 217,N,1,2,9,7
ODOT,1085,45.52955471,-122.8357886,0101000020E6100000A8D7778F7DB55EC04672E072C8C34640,195,2018-01-19,,"[2018-01-19,)",Cornell (2R372) to EB US 26,E,1,3,11,66
ODOT,1059,45.53451379,-122.581514,0101000020E6100000A20A7F8637A55EC0CFA7A7F26AC44640,210,2016-02-22,,"[2016-02-22,)",82nd/Halsey (2R080) to WB I-84,W,1,1,8,5
ODOT,1096,45.50453711,-122.6751561,0101000020E6100000794CEEC135AB5EC0C08809AC94C04640,67,2016-02-22,,"[2016-02-22,)",Naito/Harbor (2R391) to SB I-5,S,1,2,2,300
ODOT,1086,45.52076022,-122.8126099,0101000020E6100000F939F4CC01B45EC098FA5845A8C24640,196,2016-02-22,,"[2016-02-22,)",Murray (2R365) to EB US 26,E,1,2,11,67
ODOT,1030,45.57633307,-122.6789692,0101000020E6100000713F3B3B74AB5EC06BA03348C5C94640,183,2016-02-22,,"[2016-02-22,)",EB Lombard (2R012) to SB I-5,S,1,2,2,305
