agency,stationid,latitude,longitude,geom,agencyid,start_date,end_date,active_dates,locationtext,direction,lanes,actual_lanes,highwayid,milepost
WSDOT,1503,45.63028334,-122.6662502,0101000020E610000005FDE0D7A3AA5EC0BF41DE1FADD04640,005es00095:_MS,2020-08-09,,"[2020-08-09,)",Millpln SB Rm Mt,S,3,3,502,0.95
WSDOT,1555,45.67670603,-122.6649824,0101000020E6100000991A57128FAA5EC091ED9D4D9ED64640,005es00424:_MS,2020-08-09,,"[2020-08-09,)",78th St Rmp Mt,S,3,3,502,4.24
WSDOT,1583,45.62458732,-122.6710443,0101000020E6100000B4AACA63F2AA5EC0BA72307AF2CF4640,005es00045:_MS,2017-04-08,,"[2017-04-08,)",SR-14 Rmp Mtr,S,3,3,502,0.45
WSDOT,1628,45.64644484,-122.6621382,0101000020E6100000AB9BE67860AA5EC0E63B5BB4BED24640,005es00210:_MS,2020-10-02,,"[2020-10-02,)",SR500 Rmp Meter,S,2,2,502,2.1
WSDOT,10697,45.66009514,-122.5733666,0101000020E610000099E7D209B2A45EC037465FFF7DD44640,205es03111:_MN,2020-08-09,,"[2020-08-09,)",4-Pln/ 500 R-Mtr,N,3,3,54,31.11
WSDOT,10703,45.63933171,-122.6623009,0101000020E61000002167502363AA5EC075DF189FD5D14640,005es00163:_MS,2020-08-09,,"[2020-08-09,)",SB 4th Plain Rmp,S,2,2,502,1.64
WSDOT,10705,45.6568618,-122.6647823,0101000020E61000006B5D0FCB8BAA5EC0F07E260C14D44640,005es00295:_MS,2020-08-09,,"[2020-08-09,)",Main St Rmp Mt,S,1,1,502,2.95
WSDOT,10713,45.625203,-122.558633,0101000020E6100000D95DA0A4C0A35EC0382EE3A606D04640,205es02870:_MN,2021-11-10,,"[2021-11-10,)",NB Millplain Rmp,N,2,2,54,28.7
WSDOT,10798,45.592778,-122.506738,0101000020E6100000FD6838656EA05EC0E7E44526E0CB4640,014es00838:_MW,2023-07-10,,"[2023-07-10,)",164th Ave WB RM,W,2,2,51,8.38
WSDOT,10812,45.68141561,-122.5911515,0101000020E6100000CEDE196DD5A55EC08AF76FA038D74640,205es03288:_MS,2024-01-13,,"[2024-01-13,)",EB to SB Padden,S,1,1,55,32.88
WSDOT,10824,45.63468036,-122.5614759,0101000020E610000080FF9C38EFA35EC087CEBE343DD14640,205es02903:_MS,2024-01-15,,"[2024-01-15,)",18th St.,S,2,2,55,29.03
WSDOT,10825,45.61825278,-122.5583364,0101000020E6100000A68A98C8BBA35EC06B6137E822CF4640,205es02812:_MS,2024-01-15,,"[2024-01-15,)",SB Millplain Rmp,S,2,2,55,28.12
WSDOT,10826,45.683278,-122.595013,0101000020E610000078EC67B114A65EC0C4094CA775D74640,205es03311:_MS,2024-01-15,,"[2024-01-15,)",WB to SB Padden,S,1,1,55,33.11
WSDOT,10827,45.65763276,-122.5722134,0101000020E61000004FD5F3249FA45EC0367D6E4F2DD44640,205es03068:_MS,2024-01-15,,"[2024-01-15,)",WB to SB @ SR500,S,2,2,55,30.68
WSDOT,10828,45.6554903,-122.5748781,0101000020E6100000F2AB83CDCAA45EC030AC2C1BE7D34640,205es03070:_MS,2024-01-15,,"[2024-01-15,)",EB to SB @ SR500,S,3,3,55,30.7
WSDOT,10829,45.715979,-122.646929,0101000020E61000006075E44867A95EC0B7CF2A33A5DB4640,205es03656:_MS,2024-01-23,,"[2024-01-23,)",SB from 134th,S,2,2,55,36.56
WSDOT,10830,45.64008506,-122.6615358,0101000020E61000008688409A56AA5EC0D9ADA74EEED14640,005es00169:_MN,2024-02-15,,"[2024-02-15,)",NB 4th Plain Rmp,N,2,2,501,1.69
