device_id,stationid,locationid,start_date,end_date,active_dates,lane_number
10111,1141,293,2016-02-22,,"[2016-02-22,)",1
10110,1143,292,2016-02-22,,"[2016-02-22,)",1
10158,1144,262,2016-02-22,,"[2016-02-22,)",1
10206,1145,255,2020-01-27,,"[2020-01-27,)",1
10207,1146,197,2020-01-27,,"[2020-01-27,)",1
10181,1147,230,2016-02-22,,"[2016-02-22,)",1
10069,1148,189,2016-02-22,,"[2016-02-22,)",1
10072,3127,248,2016-02-22,,"[2016-02-22,)",1
10114,3127,247,2016-02-22,,"[2016-02-22,)",2
10011,3154,57,2016-02-22,,"[2016-02-22,)",1
10068,3161,188,2016-02-22,,"[2016-02-22,)",1
10186,3178,234,2016-02-22,2024-06-03,"[2016-02-22,2024-06-03)",1
10065,3181,190,2016-02-22,,"[2016-02-22,)",1
10026,10023,68,2016-02-22,,"[2016-02-22,)",1
10027,10024,69,2016-02-22,,"[2016-02-22,)",1
10024,10027,72,2016-02-22,,"[2016-02-22,)",1
10025,10028,73,2016-02-22,,"[2016-02-22,)",1
10162,10356,208,2016-02-22,,"[2016-02-22,)",1
10164,10356,209,2016-02-22,,"[2016-02-22,)",2
10115,10556,249,2016-02-22,,"[2016-02-22,)",1
10108,10581,291,2016-02-22,,"[2016-02-22,)",1
10106,10583,289,2016-02-22,,"[2016-02-22,)",1
10107,10583,290,2016-02-22,,"[2016-02-22,)",2
10091,10584,272,2016-02-22,,"[2016-02-22,)",1
10092,10585,271,2016-02-22,,"[2016-02-22,)",1
10093,10588,270,2016-02-22,,"[2016-02-22,)",1
10150,10589,278,2016-02-22,,"[2016-02-22,)",1
10099,10590,265,2016-02-22,,"[2016-02-22,)",1
10209,10660,529,2021-12-09,,"[2021-12-09,)",1
10058,10662,122,2016-02-22,2022-05-18,"[2016-02-22,2022-05-18)",1
10143,10666,116,2016-02-22,2022-05-18,"[2016-02-22,2022-05-18)",1
10052,10667,124,2016-02-22,2022-05-18,"[2016-02-22,2022-05-18)",1
10211,10668,534,2022-09-30,,"[2022-09-30,)",1
10212,10669,537,2022-09-30,,"[2022-09-30,)",1
1000406,1583,005es00045:_MSRA_1,2017-04-08,,"[2017-04-08,)",1
1000407,1583,005es00045:_MSRA_2,2017-04-08,,"[2017-04-08,)",2
1000408,1583,005es00045:_MSRA_3,2017-04-08,,"[2017-04-08,)",3
1000409,1503,005es00095:_MSRA_1,2020-08-09,,"[2020-08-09,)",1
1000410,1503,005es00095:_MSRA_2,2020-08-09,,"[2020-08-09,)",2
1000411,1503,005es00095:_MSRA_3,2022-07-14,,"[2022-07-14,)",3
1000412,10703,005es00163:_MSRA_1,2020-08-09,,"[2020-08-09,)",1
1000413,10703,005es00163:_MSRA_2,2020-08-14,,"[2020-08-14,)",2
1000414,10830,005es00169:_MNRA_1,2024-02-15,,"[2024-02-15,)",1
1000415,10830,005es00169:_MNRA_2,2024-02-15,,"[2024-02-15,)",2
1000416,1628,005es00210:_MSRA_1,2020-10-02,,"[2020-10-02,)",1
1000417,1628,005es00210:_MSRA_2,2020-10-02,,"[2020-10-02,)",2
1000418,10705,005es00295:_MSRA_1,2020-08-09,,"[2020-08-09,)",1
1000419,1555,005es00424:_MSLA_1,2020-08-09,,"[2020-08-09,)",1
1000420,1555,005es00424:_MSRA_1,2020-08-09,,"[2020-08-09,)",1
1000421,1555,005es00424:_MSRA_2,2020-08-09,,"[2020-08-09,)",2
1000422,10798,014es00838:_MWRA_1,2023-07-10,,"[2023-07-10,)",1
1000423,10798,014es00838:_MWRA_3,2023-07-10,,"[2023-07-10,)",3
1000424,10825,205es02812:_MSRA_1,2024-01-15,,"[2024-01-15,)",1
1000425,10825,205es02812:_MSRA_2,2025-08-05,,"[2025-08-05,)",2
1000426,10713,205es02870:_MNRA_1,2021-11-10,,"[2021-11-10,)",1
1000427,10713,205es02870:_MNRA_2,2021-11-10,,"[2021-11-10,)",2
1000428,10824,205es02903:_MSRA_1,2024-01-15,,"[2024-01-15,)",1
1000429,10824,205es02903:_MSRA_2,2024-01-15,,"[2024-01-15,)",2
1000430,10827,205es03068:_MSLA_1,2024-01-15,,"[2024-01-15,)",1
1000431,10827,205es03068:_MSRA_1,2024-01-15,,"[2024-01-15,)",1
1000432,10828,205es03070:_MSLA_1,2024-03-02,,"[2024-03-02,)",1
1000433,10828,205es03070:_MSRA_1,2024-01-15,,"[2024-01-15,)",1
1000434,10828,205es03070:_MSRA_2,2024-01-15,,"[2024-01-15,)",2
1000435,10697,205es03111:_MNRA_1,2020-08-09,,"[2020-08-09,)",1
1000436,10697,205es03111:_MNRA_2,2020-08-09,,"[2020-08-09,)",2
1000437,10697,205es03111:_MNRA_3,2021-11-09,,"[2021-11-09,)",3
1000438,10812,205es03288:_MSRA_1,2024-01-13,,"[2024-01-13,)",1
1000439,10826,205es03311:_MSRA_1,2024-01-15,,"[2024-01-15,)",1
1000440,10829,205es03656:_MSRA_1,2024-01-23,,"[2024-01-23,)",1
1000441,10829,205es03656:_MSRA_2,2024-01-23,,"[2024-01-23,)",2
